,domain,SPF,DKIM,DMARC
302,tjpu.edu.cn,False,False,False
303,tjrtvu.edu.cn,True,False,False
304,tju.edu.cn,True,False,False
305,tjufe.edu.cn,True,False,True
306,tjut.edu.cn,True,False,False
307,tmmu.edu.cn,True,False,False
308,tongji.edu.cn,True,False,True
309,tsinghua.edu.cn,True,False,True
310,ttmc.edu.cn,False,False,False
311,tyut.edu.cn,True,False,True
312,tzc.edu.cn,True,False,True
313,uestc.edu.cn,True,False,True
314,uheeyc.edu.cn,False,False,False
315,uibe.edu.cn,True,False,False
316,ujn.edu.cn,True,False,False
317,umcollege.com,True,False,False
318,usc.edu.cn,True,False,False
319,usst.edu.cn,True,False,False
320,ustb.edu.cn,True,False,False
321,ustb.edu.cn,True,False,False
322,ustc.edu.cn,True,False,True
323,utibet.edu.cn,False,False,False
324,uvu.edu.cn,False,False,False
325,wcums.edu.cn,False,False,False
326,wdsdjxy.com,False,False,False
327,whapu.edu.cn,False,False,False
328,whtu.edu.cn,False,False,False
329,whu.edu.cn,True,False,False
330,whut.edu.cn,True,False,True
331,wsm.whu.edu.cn,False,False,False
332,wtusm.edu.cn,False,False,False
333,wuhee.edu.cn,False,False,False
334,wxuli.edu.cn,False,False,False
335,wyu.edu.cn,True,False,True
336,wzmu.net,False,False,False
337,wzu.edu.cn,False,False,True
338,xafa.edu.cn,True,False,True
339,xahu.edu.cn,False,False,False
340,xauat.edu.cn,True,False,True
341,xaut.edu.cn,False,False,False
342,xhcom.edu.cn,False,False,False
343,xidian.edu.cn,True,False,False
344,xiju.edu.cn,False,False,False
345,xisu.edu.cn,True,False,True
346,xjau.edu.cn,True,False,False
347,xjnu.edu.cn,False,False,False
348,xjtlu.edu.cn,True,False,False
349,eurasia.edu,False,False,False
350,xjtu.edu.cn,True,False,False
351,xju.edu.cn,False,False,False
352,xjufe.edu.cn,True,False,False
353,xmu.edu.cn,True,False,False
354,xtnu.edu.cn,False,False,False
355,xtu.edu.cn,True,False,False
356,xza.cn,False,False,False
357,xzmy.edu.cn,False,False,False
358,xznu.edu.cn,False,False,False
359,yangtzeu.edu.cn,True,False,False
360,yau.edu.cn,False,False,False
361,ybu.edu.cn,True,False,False
362,ybust.edu.cn,False,False,False
363,yizhuan.com,False,False,False
364,ynau.edu.cn,False,False,False
365,ynnu.edu.cn,True,False,True
366,ynu.edu.cn,True,False,False
367,ysu.edu.cn,True,False,False
368,ytet.edu.cn,False,False,False
369,ytnc.edu.cn,False,False,False
370,ytu.edu.cn,False,False,False
371,yznu.cn,True,False,False
372,yzu.edu.cn,True,False,True
373,zdsoft.com.cn,False,False,False
374,zgfxy.cn,False,False,False
375,zhnut.edu.cn,False,False,False
376,zjfc.edu.cn,False,False,False
377,zjgsu.edu.cn,True,False,True
378,zjnu.edu.cn,True,False,False
379,zjou.edu.cn,True,False,True
380,zju.edu.cn,True,False,False
381,zjut.edu.cn,True,False,True
382,znuel.net,False,False,False
383,znufe.edu.cn,False,False,False
384,zsb.scfai.edu.cn,False,False,False
385,zstu.edu.cn,True,False,True
386,zsu.edu.cn,False,False,False
387,zzgc.edu.cn,False,False,False
388,zzut.edu.cn,True,False,False
389,cust.edu.cn,True,False,True
390,stu.gcu.edu.cn,True,False,False
391,xhu.edu.cn,False,False,False
392,nuist.edu.cn,True,False,False
393,lynu.edu.cn,False,False,False
394,hbc.edu.cn,True,False,False
395,ahmu.edu.cn,True,False,False
396,ahnu.edu.cn,True,False,True
397,ahsdxy.ah.edu.cn,False,False,False
398,ahtcm.edu.cn,True,False,False
399,ahu.edu.cn,True,False,True
400,aufe.edu.cn,False,False,False
401,bac.edu.cn,True,False,True
402,bfsu.edu.cn,True,False,False
403,bhu.edu.cn,False,False,False
404,bisu.edu.cn,True,False,False
405,bit.edu.cn,True,False,False
406,biti.edu.cn,False,False,False
407,bjtu.edu.cn,True,False,False
408,bjaeu.edu.cn,False,False,False
409,bjfu.edu.cn,True,False,False
410,bjmu.edu.cn,True,False,True
411,bjpeu.edu.cn,False,False,False
412,bjpu.edu.cn,False,False,False
413,bjucmp.edu.cn,False,False,False
414,blcu.edu.cn,True,False,False
415,bnu.edu.cn,True,False,True
416,bsu.edu.cn,True,False,False
417,buaa.edu.cn,True,False,True
418,buct.edu.cn,True,False,True
419,bupt.edu.cn,False,False,True
420,cafa.edu.cn,True,False,False
421,cauc.edu,False,False,False
422,cau.edu.cn,True,True,True
423,ccnu.edu.cn,True,False,False
424,ccut.edu.cn,False,False,False
425,cdu.edu.cn,True,False,False
426,cdutcm.edu.cn,False,False,False
427,cdut.edu.cn,True,False,True
428,cfau.edu.cn,True,False,True
429,chinaacademyofart.com,False,False,False
430,cisisu.edu.cn,True,False,False
431,cmu.edu.cn,True,False,False
432,cncnc.edu.cn,False,False,False
433,cnu.edu.cn,False,False,False
434,cppsu.edu.cn,False,False,False
435,cpu.edu.cn,True,False,True
436,cpums.edu.cn,False,False,False
437,cqec.net.cn,False,False,False
438,cqgyzy.com,False,False,False
439,cqmu.edu.cn,True,False,False
440,cqnu.edu.cn,False,False,False
441,cqtcedu.com,False,False,False
442,cquc.edu.cn,False,False,False
443,cqu.edu.cn,True,False,False
444,cqupt.edu.cn,True,False,True
445,cqust.cn,False,False,False
446,cqut.edu.cn,True,False,False
447,cqwu.net,True,False,False
448,crtvu.edu.cn,False,False,False
449,csfu.edu.cn,False,False,False
450,csru.edu.cn,False,False,False
451,csu.edu.cn,True,False,False
452,csuep.edu.cn,False,False,False
453,ctbu.edu.cn,True,False,False
454,ctgu.edu.cn,True,False,False
455,cubu.edu,False,False,False
456,cuc.edu.cn,False,False,True
457,cueb.edu.cn,True,False,False
458,cufe.edu.cn,True,False,True
459,cugb.edu.cn,True,False,False
460,cug.edu.cn,True,False,True
461,cumtb.edu.cn,True,False,False
462,cumt.edu.cn,True,False,False
463,cun.edu.cn,False,False,False
464,cupl.edu.cn,True,False,False
465,cyc.edu.cn,False,False,False
466,dhu.edu.cn,True,False,False
467,dlmedu.edu.cn,False,False,False
468,dlmu.edu.cn,True,False,False
469,dlu.edu.cn,True,False,False
470,dlufl.edu.cn,True,False,True
471,dlut.edu.cn,True,False,False
472,dufe.edu.cn,True,False,False
473,ecjtu.jx.cn,True,False,True
474,ecnu.edu.cn,True,False,True
475,ecust.edu.cn,False,False,False
476,emsfj.com,False,False,False
477,fimmu.edu.cn,False,False,False
478,fjau.edu.cn,False,False,False
479,fjmu.edu.cn,True,False,False
480,fjnu.edu.cn,True,False,True
481,fjtcm.edu.cn,True,False,False
482,fmmu.edu.cn,True,False,False
483,fosu.edu.cn,True,False,True
484,fspu.edu.cn,False,False,False
485,fudan.edu.cn,True,False,True
486,fzu.edu.cn,True,False,False
487,gdin.edu.cn,False,False,False
488,gdrtvu.edu.cn,True,False,True
489,gdufs.edu.cn,True,False,True
490,gdut.edu.cn,True,False,False
491,gsau.edu.cn,True,False,False
492,gsut.edu.cn,False,False,False
493,guangztc.edu.cn,False,False,False
494,gxmu.edu.cn,True,False,False
495,gxnu.edu.cn,True,False,True
496,gxtcmu.edu.cn,True,False,False
497,gxu.edu.cn,True,False,True
498,gxun.edu.cn,False,False,True
499,gzarts.edu.cn,False,False,False
500,gzhtcm.edu.cn,False,False,False
501,gzhu.edu.cn,True,False,False
502,gznu.edu.cn,True,False,True
503,gzsums.edu.cn,False,False,False
504,gzu.edu.cn,True,False,False
