,name,domain,SPF,DMARC,DKIM
349,Xi'an Eurasia University,eurasia.edu,False,False,False
350,Xi'an Jiaotong University,xjtu.edu.cn,True,False,False
351,Xinjiang University,xju.edu.cn,False,False,False
352,Xinjiang University of Finance and Economics,xjufe.edu.cn,True,False,False
353,Xiamen University,xmu.edu.cn,True,False,False
354,Xiangtan Normal University,xtnu.edu.cn,False,False,False
355,Xiangtan University,xtu.edu.cn,True,False,False
356,Tibet Agricultural and Animal Husbandry College,xza.cn,False,False,False
357,Tibet University of Nationalities,xzmy.edu.cn,False,False,False
358,Xuzhou Normal University,xznu.edu.cn,False,False,False
359,Yangtze University,yangtzeu.edu.cn,True,False,False
360,Yan'an University,yau.edu.cn,False,False,False
361,Yanbian University,ybu.edu.cn,True,False,False
362,Yanbian University of Science and Technology,ybust.edu.cn,False,False,False
363,Huaihua Medical College,yizhuan.com,False,False,False
364,Yunnan Agriculture University,ynau.edu.cn,False,False,False
365,Yunnan Normal University,ynnu.edu.cn,True,True,False
366,Yunnan University,ynu.edu.cn,True,False,False
367,Yan Shan University,ysu.edu.cn,True,False,False
368,Yantai Education Institute & Yantai Television University,ytet.edu.cn,False,False,False
369,Ludong University,ytnc.edu.cn,False,False,False
370,Yantai University,ytu.edu.cn,False,False,False
371,Yangtze Normal University,yznu.cn,True,False,False
372,Yangzhou University,yzu.edu.cn,True,True,False
373,Zhengda Software College,zdsoft.com.cn,False,False,False
374,Buddhist Acamedy of China,zgfxy.cn,False,False,False
375,Zhongnan University of Technology,zhnut.edu.cn,False,False,False
376,Zhejiang Forestry University,zjfc.edu.cn,False,False,False
377,Zhejiang Gongshang University,zjgsu.edu.cn,True,True,False
378,Zhejiang Normal University,zjnu.edu.cn,True,False,False
379,Zhanjiang Ocean University,zjou.edu.cn,True,True,False
380,Zhejiang University,zju.edu.cn,True,False,False
381,Zhejiang University of Technology,zjut.edu.cn,True,True,False
382,Zhongnan University of Economics and Law,znuel.net,False,False,False
383,Zhongnan University of Finance and Economics,znufe.edu.cn,False,False,False
